org.jhotdraw.draw.action.FontChooserHandler org.jhotdraw.draw.DrawingEditor 282 8.269795 0.2569874
org.jhotdraw.draw.action.FontChooserHandler org.jhotdraw.draw.DrawingView 933 27.3607 0.7084605
org.jhotdraw.draw.action.FontChooserHandler org.jhotdraw.gui.JFontChooser 332 9.73607 36.48352
org.jhotdraw.draw.action.AttributeAction org.jhotdraw.draw.action.AttributeAction 42164 74.44341 88.69723
org.jhotdraw.draw.action.AttributeAction org.jhotdraw.draw.DrawingEditor 14043 24.79387 12.79743
org.jhotdraw.gui.JPopupButton.Handler org.jhotdraw.gui.JPopupButton 772 100 12.45965
org.jhotdraw.draw.action.GroupAction org.jhotdraw.draw.action.GroupAction 5593 81.12852 99.6792
org.jhotdraw.draw.action.GroupAction org.jhotdraw.draw.DrawingView 1301 18.87148 0.9878962
org.jhotdraw.draw.action.ButtonFactory.ToolButtonListener org.jhotdraw.draw.DrawingEditor 83 100 0.07563814
org.jhotdraw.draw.DefaultDrawingEditor org.jhotdraw.draw.tool.Tool 342 1.144923 2.065592
org.jhotdraw.draw.tool.AbstractTool org.jhotdraw.draw.DrawingEditorProxy 1074 1.490528 60.33708
org.jhotdraw.draw.DrawingEditorProxy org.jhotdraw.draw.DrawingEditor 1074 75.26279 0.9787393
org.jhotdraw.draw.tool.SelectionTool org.jhotdraw.draw.tool.Tool 9581 61.04103 57.86676
org.jhotdraw.draw.tool.DefaultSelectAreaTracker org.jhotdraw.draw.tool.DefaultSelectAreaTracker 16214 36.31924 100
org.jhotdraw.draw.action.DefaultAttributeAction.1 org.jhotdraw.draw.action.DefaultAttributeAction 451 50 75.67114
org.jhotdraw.draw.action.DefaultAttributeAction.1 org.jhotdraw.draw.AttributeKey 451 50 0.2002309
org.jhotdraw.draw.action.ButtonFactory.6 org.jhotdraw.gui.JPopupButton 451 100 7.27889
org.jhotdraw.draw.DrawingEditorProxy.Forwarder org.jhotdraw.draw.DrawingEditorProxy 353 100 19.83146
org.jhotdraw.draw.DrawingEditorProxy org.jhotdraw.draw.DrawingEditorProxy 353 24.73721 19.83146
org.jhotdraw.draw.tool.SelectionTool org.jhotdraw.draw.tool.SelectionTool 3473 22.12666 60.79118
org.jhotdraw.draw.tool.SelectionTool org.jhotdraw.draw.DrawingView 2065 13.15622 1.568029
org.jhotdraw.draw.AbstractAttributedFigure org.jhotdraw.geom.Geom 3201 1.37945 5.384809
org.jhotdraw.draw.handle.BoundsOutlineHandle org.jhotdraw.draw.DrawingEditor 2435 23.42022 2.219023
org.jhotdraw.draw.handle.BoundsOutlineHandle org.jhotdraw.draw.tool.Tool 487 4.684043 2.941354
org.jhotdraw.draw.handle.ResizeHandleKit.ResizeHandle org.jhotdraw.draw.handle.ResizeHandleKit.ResizeHandle 12615 49.5308 100
org.jhotdraw.draw.handle.ResizeHandleKit.ResizeHandle org.jhotdraw.draw.DrawingEditor 7656 30.06007 6.976935
org.jhotdraw.draw.handle.ResizeHandleKit.ResizeHandle org.jhotdraw.draw.tool.Tool 2552 10.02002 15.41342
org.jhotdraw.draw.handle.ResizeHandleKit.ResizeHandle org.jhotdraw.draw.Figure 2412 9.470336 1.21844
org.jhotdraw.draw.handle.RoundRectangleRadiusHandle org.jhotdraw.draw.DrawingEditor 147 22.13855 0.1339615
org.jhotdraw.draw.handle.RoundRectangleRadiusHandle org.jhotdraw.draw.tool.Tool 49 7.379518 0.2959473
org.jhotdraw.draw.tool.DefaultSelectAreaTracker org.jhotdraw.draw.DrawingEditor 9575 21.44793 8.725725
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.util.ReversedList 12274 5.382082 99.79673
org.jhotdraw.draw.tool.AbstractTool org.jhotdraw.draw.handle.Handle 482 0.6689335 0.9647139
